Book,Subtitle,Authors,Page Count,Description,Snippet,Publisher
Irritability,,['Sir Jagadis Chandra Bose'],434,,,
Lord Jim,,['Joseph Conrad'],376,"This immortal novel of the sea tells the story of a British sailor haunted by a single youthful act of cowardly betrayal. To the white men in Bombay, Calcutta, and Rangoon, Jim is a man of mystery. To the primitive natives deep in the Malayan jungle, he is a god gifted with supernatural powers. To the beautiful half-caste girl who flees to his hut for protection, he is a lord to be feared and loved. Lord Jim-- Conrad' s classic portrait of a man' s guilt, his search for forgiveness, and his final, tragic redemption-- is a work of enduring value and one of the world' s great masterpieces.",This immortal novel of the sea tells the story of a British sailor haunted by a single youthful act of cowardly betrayal.,"Oxford University Press, USA"
The Untethered Soul,The Journey Beyond Yourself,['Michael A. Singer'],198,"#1 New York Times bestseller What would it be like to free yourself from limitations and soar beyond your boundaries? What can you do each day to discover inner peace and serenity? The Untethered Soul offers simple yet profound answers to these questions. Whether this is your first exploration of inner space, or you’ve devoted your life to the inward journey, this book will transform your relationship with yourself and the world around you. You’ll discover what you can do to put an end to the habitual thoughts and emotions that limit your consciousness. By tapping into traditions of meditation and mindfulness, author and spiritual teacher Michael A. Singer shows how the development of consciousness can enable us all to dwell in the present moment and let go of painful thoughts and memories that keep us from achieving happiness and self-realization. Copublished with the Institute of Noetic Sciences (IONS) The Untethered Soul begins by walking you through your relationship with your thoughts and emotions, helping you uncover the source and fluctuations of your inner energy. It then delves into what you can do to free yourself from the habitual thoughts, emotions, and energy patterns that limit your consciousness. Finally, with perfect clarity, this book opens the door to a life lived in the freedom of your innermost being. The Untethered Soul has already touched the lives of more than a million readers, and is available in a special hardcover gift edition with ribbon bookmark—the perfect gift for yourself, a loved one, or anyone who wants a keepsake edition of this remarkable book. Visit www.untetheredsoul.com for more information.","Whether this is your first exploration of inner space, or you’ve devoted your life to the inward journey, this book will transform your relationship with yourself and the world around you.",New Harbinger  Publications
Master Game,,['Sidney Sheldon'],0,"PREPARE TO BE DAZZLED BY THIS CLASSIC BESTSELLER FROM MASTER STORYTELLER SIDNEY SHELDON! WHO IS KATE BLACKWELL? She is the symbol of success, the beautiful woman who parlayed her inheritance into an international conglomerate. Winner of a unique position among the wealthy and world-renowned. And she's a survivor, indomitable as her father, the man who returned from the edge of death to wrench a fortune in diamonds from the bleak South African earth. Now, celebrating her ninetieth birthday, Kate surveys the family she has manipulated, dominated, and loved: the fair and the grotesque, the mad and the mild, the good and the evil -- her winnings in life. Is she the...MASTER OF THE GAME?","Now, celebrating her ninetieth birthday, Kate surveys the family she has manipulated, dominated, and loved: the fair and the grotesque, the mad and the mild, the good and the evil -- her winnings in life. Is she the...MASTER OF THE GAME?",Grand Central Publishing
As You Like It,William Shakespeare,"['Penny Gay', 'William Shakespeare']",119,"One of the best loved of Shakespeare's 'middle comedies', As You Like It has rarely been out of the theatrical repertoire. Centering on the cross-dressed figure of Rosalind, the play both celebrates and questions the state of being in love. This study attempts to recreate the Elizabethan audience's experience of the play - its awareness of issues that have been elided in subsequent, simply 'romantic' readings. Using an innovative theory of the significance of the Globe's stage space, Penny Gay examines the play's presentation of issues of power, sexuality, gender and genre.","One of the best loved of Shakespeare's 'middle comedies', As You Like It has rarely been out of the theatrical repertoire.",Northcote House Pub Limited
Middlemarch,,['George Eliot'],737,"“Middlemarch - A Study of Provincial Life” is an 1871 novel by English author George Eliot. Set in the fictitious Midlands town of Middlemarch, the story revolves around the lives of its inhabitants in the years leading up to the Reform Act in 1832, particularly those of Dorothea Brooke, Tertius Lydgate, Nicholas Bulstrode, and Mary Garth. The novel deals with a variety of themes and issues including marriage, religion, hypocrisy, education, political reform, and the status of women. Although published to mixed reviews, Eliot's “Middlemarch” is now widely considered to be one of the greatest novels ever written in the English language. A veritable classic of English literature without which no bookshelf is complete. Mary Ann Evans (1819–1880), more commonly known as George Eliot, was an English poet, journalist, novelist, and translator. Among the most prominent writers in Victorian England, she wrote seven novels in total, most of which are known for their realism and psychological analyses of provincial English life. Other notable works by this author include: “Adam Bede” (1859), “The Mill on the Floss” (1860), and “Daniel Deronda” (1876). Read & Co. Classics is republishing this classic novel now in a new edition complete with a specially-commissioned new biography of the author.",Read & Co. Classics is republishing this classic novel now in a new edition complete with a specially-commissioned new biography of the author.,Read Books Ltd
Secret Life Of Words,,['Henry Hitchings'],300,"Communication is essential to our lives, but how often do we stop to think about where the words we use have come from? Have you ever thought about which words in English have been borrowed from Arabic, French or Dutch? Try admiral, landscape and marmalade just for starters. The Secret Life of Words is a wide-ranging account not only of the history of English, but also of how words witness history, reflect social change and remind us of our turbulent past. Henry Hitchings delves into our promiscuous language and reveals how and why it has absorbed words from more than 350 other languages many originating from the most unlikely of places, such as shampoo from Hindi and kiosk from Turkish. From the Norman Conquest to the present day, Hitchings narrates the story of English as an archive of our human experience and uncovers the secrets behind everyday words. This is a celebration of our language; after reading it, you will never again take the words we use for granted.","This is a celebration of our language; after reading it, you will never again take the words we use for granted.",Hachette UK
An Evening With Cary Grant,My Life with Cary Grant,"['Maureen Donaldson', 'William Royce']",320,,,Sphere
Tim Burgess,Vinyl Adventures from Istanbul to San Francisco,['Tim Burgess'],252,"Tim Book Two is the follow-up to Telling Stories, the hugely successful memoir of Tim Burgess, singer of the Charlatans. In 2012, Tim published his hugely successful and critically acclaimed memoir, Telling Stories. Tim really enjoyed his new role as an author, and so here it is: Tim Book Two - a tale of Tim's lifelong passion for records, the shops that sell them, and the people who make them. In some ways, the biggest events in Tim's life happened in the couple of years after he had finished writing his first book rather than in the forty years before. So he had more to say, but instead of another autobiography he chose a different way of telling the story. Tim set himself a quest. He would get in touch with people he admired, and ask them to suggest an album for him to track down on his travels, giving an insight into what makes them tick. It would also offer a chance to see how record shops were faring in the digital age - one in which vinyl was still a much-treasured format.Tim assembled his cast of characters, from Iggy Pop to Johnny Marr, David Lynch to Cosey Fanni Tutti. Texts, phone calls, emails and handwritten notes went out. Here is the tender, funny and surprising story of what came back.","Tim assembled his cast of characters, from Iggy Pop to Johnny Marr, David Lynch to Cosey Fanni Tutti. Texts, phone calls, emails and handwritten notes went out. Here is the tender, funny and surprising story of what came back.",Faber & Faber
Man On The Run,,['Charles Williams'],207,"Pursued by the police, a desperate man fights to stay free—and stay aliveDIV It’s raining hard when the man leaps off the train. He lands safely and creeps into town, praying he will find someplace to hide. It’s nearly daylight, and the police are not far behind. He breaks into an unoccupied seaside cottage, and is overjoyed to find coffee, whiskey, and cigarettes. But before the fugitive can relax, the doorknob rattles. The police are at the door./divDIV /divDIVRussell Foley, third mate on an oil tanker, is not a cop killer. But the night before he got into a fight with a police detective, and a few hours later the cop was found stabbed to death. Unable to explain himself, he bolts, hoping to evade the police and somehow find the real killer. But for a man who cannot stop running, justice can be a hard thing to find./div","Pursued by the police, a desperate man fights to stay free—and stay aliveDIV It’s raining hard when the man leaps off the train.",Open Road Media
Jim Morrison,,['Jon E. Lewis'],48,"A brief biography of the legendary ""Doors"" singer known for his fast-paced and excessive lifestyle.","A brief biography of the legendary ""Doors"" singer known for his fast-paced and excessive lifestyle",Infobase Learning
The $12 Million Stuffed Shark,The Curious Economics of Contemporary Art,['Don Thompson'],304,"Why would a smart New York investment banker pay twelve million dollars for the decaying, stuffed carcass of a shark? By what alchemy does Jackson Pollock’s drip painting No.5 1948 sell for $140 million? 'The $12 Million Dollar Stuffed Shar'k is the first book to look at the economics of the modern art world, and the marketing strategies that power the market to produce such astronomical prices. Don Thompson talks to auction houses, dealers, and collectors to find out the source of Charles Saatchi’s Midas touch, and how far a gallery like White Cube has contributed to Damien Hirst becoming one of the highest-earning artists in the world.","'The $12 Million Dollar Stuffed Shar'k is the first book to look at the economics of the modern art world, and the marketing strategies that power the market to produce such astronomical prices.",Aurum
Mike Skinner,Personalized Handyman Notebook - Gift Journal for Mike,['J M Skinner'],92,"This If Mike Can't Fix It We're All Screwed Notebook Journal makes a great birthday or Christmas gift for Mike. Features a handy 6x9 size with 90 pages and matte cover. Great for creating to-do list, drawings, formulas, and other handyman type notes.",This If Mike Can't Fix It We're All Screwed Notebook Journal makes a great birthday or Christmas gift for Mike.,
Bob Monkhouse,,['Bob Monkhouse'],208,"Discover Bob Monkhouse's secrets accumulated from a lifetime's experience in scriptwriting and speechmaking. With his own golden rules, advice and examples from fellow experts and famous friends, and a wealth of humorous material that worked for him, this light-hearted yet thoroughly practical handbook ensures that you will always be ready to say a few words.",Discover Bob Monkhouse's secrets accumulated from a lifetime's experience in scriptwriting and speechmaking.,Random House
Andy Warhola,A Biography,['Wayne Koestenbaum'],166,"An intimate depiction of the visionary who revolutionized the art world A man who created portraits of the rich and powerful, Andy Warhol was one of the most incendiary figures in American culture, a celebrity whose star shone as brightly as those of the Marilyns and Jackies whose likenesses brought him renown. Images of his silvery wig and glasses are as famous as his renderings of soup cans and Brillo boxes—controversial works that elevated commerce to high art. Warhol was an enigma: a partygoer who lived with his mother, an inarticulate man who was a great aphorist, an artist whose body of work sizzles with sexuality but who considered his own body to be a source of shame. In critic and poet Wayne Koestenbaum’s dazzling look at Warhol’s life, the author inspects the roots of Warhol’s aesthetic vision, including the pain that informs his greatness, and reveals the hidden sublimity of Warhol’s provocative films. By looking at many facets of the artist’s oeuvre—films, paintings, books, “Happenings”—Koestenbaum delivers a thought-provoking picture of pop art’s greatest icon.","An intimate depiction of the visionary who revolutionized the art world A man who created portraits of the rich and powerful, Andy Warhol was one of the most incendiary figures in American culture, a celebrity whose star shone as brightly ...",Open Road Media
Nocturnal,,['Xavier de Maistre'],0,"Finding himself locked in his room for six weeks, a young officer journeys around his room in his imagination, using the various objects it contains as inspiration for a delightful parody of contemporary travel-writing and an exercise in Sternean picaresque, and humorously demonstrating what one can explore without having set off to exotic locations. Accompanied in this volume by its equally superb sequel, 'Nocturnal Expedition around my Room', in which a similar voyage is made at night several years later, 'A Journey around My Room' is a masterly and innovative piece of writing, which was immensely popular in its time and would later influence Victor Hugo and Marcel Proust, among others.","Accompanied in this volume by its equally superb sequel, 'Nocturnal Expedition around my Room', in which a similar voyage is made at night several years later, 'A Journey around My Room' is a masterly and innovative piece of writing, which ...",Alma Classics
Opium Of The People,Opiate Use in Nineteenth-century England,"['Virginia Berridge', 'Griffith Edwards']",412,"At the beginning of the 19th century, opium was widely used as an everyday remedy for common ailments. By the 1920s, it was classified as a dangerous drug. In an examination of the social context of drug taking in Victorian England, the book explains this decisive change in attitude. This revised edition examines how and why restrictive policies were put in place in the early decades of the 20th century and reveals fresh perspectives on the motivations which survive in the formation of current drug policies.",This revised edition examines how and why restrictive policies were put in place in the early decades of the 20th century and reveals fresh perspectives on the motivations which survive in the formation of current drug policies.,Allen Lane
Fabric Of The Cosmos: The Beginning Is Nigh,,"['Everest Media,']",97,"Please note: This is a companion version & not the original book. Sample Book Insights: #1 I grew up reading books in my father’s bookcase, and while I was never forbidden to read them, I never saw anyone take one down. The books were massive tomes that seemed almost fused to the shelves. But the one that stood out was The Myth of Sisyphus by Albert Camus. #2 I found it difficult to believe that scientific progress could make any difference to our assessment of life’s worth. If our experiences only paint a paltry portrait of reality, our appraisal of life would be thoroughly compromised. #3 Modern science has shown that human experience is often a misleading guide to the true nature of reality. The most important and influential of these revisions is the understanding of space and time, which has been shaped by modern physics. #4 Space and time are the two most important concepts in physics. They are the raw material underlying reality. Through his theories of relativity, Einstein revealed the principal role they play in the evolution of the universe.","... <b>universe</b>. It was developed in the late 1960s and <b>early</b> 1970s, and it explains many features of astronomical observations. However, it does not explain why the <b>universe</b> might have been highly ordered <b>near</b> the very <b>beginning</b>. #12 ...",Everest Media LLC
Good Times,,['TIMES'],68,,,
The Marriage Of Heaven And Hell,,['William Blake'],26,"The Prophets Isaiah and Ezekiel dined with me, and I asked them how they dared so roundly to assert that God spoke to them, and whether they did not think at the time that they would be misunderstood, and so be the cause of imposition. Isaiah answered: ""I saw no God, nor heard any, in a finite organical perception: but my senses discovered the infinite in everything; and as I was then persuaded, and remained confirmed, that the voice of honest indignation is the voice of God, I cared not for consequences, but wrote."" Then I asked: ""Does a firm persuasion that a thing is so, make it so?"" He replied: ""All poets believe that it does, and in ages of imagination this firm persuasion removed mountains; but many are not capable of a firm persuasion of anything...""","The Prophets Isaiah and Ezekiel dined with me, and I asked them how they dared so roundly to assert that God spoke to them, and whether they did not think at the time that they would be misunderstood, and so be the cause of imposition.",BoD – Books on Demand
Story,A Story for Children and Those who Love Children,['Johanna Spyri'],708,,,
Shakespeare'S Sonnet 29,,"['Gale, Cengage Learning']",17,"A Study Guide for William Shakespeare's ""Sonnet 29,"" excerpted from Gale's acclaimed Poetry for Students. This concise study guide includes plot summary; character analysis; author biography; study questions; historical context; suggestions for further reading; and much more. For any literature project, trust Poetry for Students for all of your research needs.",This concise study guide includes plot summary; character analysis; author biography; study questions; historical context; suggestions for further reading; and much more.,"Gale, Cengage Learning "
International London,,['George Daniel Ramsay'],330,,,Manchester University Press
Teach Us How To Sit Still,A Skeptic's Search for Health and Healing,['Tim Parks'],338,"""Teach Us to Sit Still is the visceral, thought-provoking, and inexplicably entertaining story of how Tim Parks found himself in serious pain, how doctors failed to help, and the quest he took to find his own way out. Overwhelmed by a crippling conditionwhich nobody could explain or relieve, Parks follows a fruitless journey through the conventional medical system only to find relief in the most unexpected place: a breathing exercise that eventually leads him to take up meditation. This was the very last place Parks anticipated finding answers; he was about as far from New Age as you can get. As everything that he once held true is called into question, Parks confronts the relationship between his mind and body, the hectic modern world that seems to demand all our focus, and his chosen life as an intellectual and writer. He is drawn to consider the effects of illness on the work of other writers, the role of religion in shaping our sense of self, and the influence of sports and art on our attitudes toward health and well-being. Most of us will fall ill at some point; few will describe that journey with the same verve, insight, and radiant intelligence as Tim Parks""--Provided by publisher.","He is drawn to consider the effects of illness on the work of other writers, the role of religion in shaping our sense of self, and the influence of sports and art on our attitudes toward health and well-being.",Rodale
The Mill On The Floss,,['George Eliot'],631,"From the author of MIDDLEMARCH and SILAS MARNER, a story of frustrated intelligence and longing, featuring the intelligent Maggie, who yearns to be loved, and her brother Tom, who is forced to study. When Maggie is cast out by Tom, she is ostracized by society, and must face the consequences of renunciation.","Recalling her own experiences as a girl, George Eliot describes Maggie's turbulent childhood with a sympathetic engagement that makes the early chapters of The Mill on the Floss among the most immediately attractive she ever wrote.",Konemann
"Thinking, Fast & Slow",,['Daniel Kahneman'],752,"In this work the author, a recipient of the Nobel Prize in Economic Sciences for his seminal work in psychology that challenged the rational model of judgment and decision making, has brought together his many years of research and thinking in one book. He explains the two systems that drive the way we think. System 1 is fast, intuitive, and emotional; System 2 is slower, more deliberative, and more logical. He exposes the extraordinary capabilities, and also the faults and biases, of fast thinking, and reveals the pervasive influence of intuitive impressions on our thoughts and behavior. He reveals where we can and cannot trust our intuitions and how we can tap into the benefits of slow thinking. He offers practical and enlightening insights into how choices are made in both our business and our personal lives, and how we can use different techniques to guard against the mental glitches that often get us into trouble. This author's work has transformed cognitive psychology and launched the new fields of behavioral economics and happiness studies. In this book, he takes us on a tour of the mind and explains the two systems that drive the way we think and the way we make choices.",Psychologist Daniel Kahneman reveals the truth about our intuitions and rationality to teach us how to better our lives.,Penguin UK
Nu:Ton,,,,,,
Henry V,,['Keith Dockray'],264,"The wild and headstrong prince of Shakespeare's Henry IV blossoms in Henry V into a veritable hero-king: an epic embodiment of military valour, concerned for the welfare of his subjects, and above all, an archetypal man of action. Such a portrayal reflected not only Shakespeare's Tudor sources but contemporary estimates of King Henry V. To his earliest biographer, a royal chaplain and well-informed insider, he was a model Christian prince, clearly carrying out God's wishes both at home and abroad; the chronicler Thomas Walsingham, writing in 1422, judged him a pious, prudent, and warlike ruler; and, to the humanist Tito Livio in 1437, he was an energetic, just, and shrewd military commander who, at Agincourt, fought ""like an unvanquished lion."" Modern historians have perpetuated the flattery of chroniclers, but should they? Was the real Henry V a national hero, a jingoistic bigot, or neither?",""" Modern historians have perpetuated the flattery of chroniclers, but should they? Was the real Henry V a national hero, a jingoistic bigot, or neither?","Tempus Publishing, Limited"
Hitch: A Very Public Intellectual,A Memoir,['Christopher Hitchens'],494,"Over the course of his 60 years, Christopher Hitchens has been a citizen of both the United States and the United Kingdom. He has been both a socialist opposed to the war in Vietnam and a supporter of the U.S. war against Islamic extremism in Iraq. He has been both a foreign correspondent in some of the world's most dangerous places and a legendary bon vivant with an unquenchable thirst for alcohol and literature. He is a fervent atheist, raised as a Christian, by a mother whose Jewish heritage was not revealed to him until her suicide. In other words, Christopher Hitchens contains multitudes. He sees all sides of an argument. And he believes the personal is political. This is the story of his life, lived large.","... <b>intellectual</b> heavyweights who commanded artillery superior to my own, with the residual twenty-five percent being ... <b>public</b> figures like my contemporary Bill Clinton: if you can give a decent speech in <b>public</b> or cut any kind of figure ...",Hachette UK
"Walpole's Peace, Pitt's Terror",,['Horace Walpole'],576,,,
The Swede,The Very Unofficial Guide to the Swedes,['Christer Amnéus'],226,[The] Swede is a blueprint for being Swedish: Not too little and not too much (simply lagom).,[The] Swede is a blueprint for being Swedish: Not too little and not too much (simply lagom).,
How To Be Alone,A Single's Guide to a Satisfying Life,['Katharine Coggeshall'],63,"Welcome to single town, a place of opportunity, renewed energy, and plenty of good company! This is the ultimate guide to a satisfying life as a single. Learn how to be happy alone through pages filled with beautiful images and helpful advice on exploring you, healthy mind and body, cures for loneliness, and much more. ""How to be Happy Alone"" is the first in Coggeshall's self-help series. The second installment is due late 2017.","This is the ultimate guide to a satisfying life as a single. Learn how to be happy alone through pages filled with beautiful images and helpful advice on exploring you, healthy mind and body, cures for loneliness, and much more.",
The Suspicions Of Mr Whicher,Or the Murder at Road Hill House,['Kate Summerscale'],401,"An exquisite new edition of the true crime classic; 'a classic' (John le Carré)Saville's corpse, already stiff, was laid on a table beneath the kitchen window; upstairs the shape of his sleeping self was still indented on the sheets and pillow of the cot.On a summer's morning in 1860, the Kent family awakes in their elegant Wiltshire home to a terrible discovery; their youngest son has been brutally murdered. When celebrated detective Jack Whicher is summoned from Scotland Yard he faces the unenviable task of identifying the killer - when the grieving family are the suspects.The original Victorian whodunnit, the murder and its investigation provoked national hysteria at the thought of what might be festering behind the locked doors of respectable homes - scheming servants, rebellious children, insanity, jealousy, loneliness and loathing.","An exquisite new edition of the true crime classic; 'a classic' (John le Carré)Saville's corpse, already stiff, was laid on a table beneath the kitchen window; upstairs the shape of his sleeping self was still indented on the sheets and ...",
Hume Enquiries,Expanded and Explained,"['David Hume', 'Scott Stapleford', 'Tyron Goldschmidt']",390,"Hume’s Enquiry: Expanded and Explained includes the entire classical text of David Hume’s An Enquiry Concerning Human Understanding in bold font, a running commentary blended seamlessly into the text in regular font, and analytic summaries of each section. The commentary is like a professor on hand to guide the reader through every line of the daunting prose and every move in the intricate argumentation. The unique design helps students learn how to read and engage with one of modern philosophy’s most important and exciting classics. Key Features: Includes the entire original text. Provides helpful summaries of each paragraph. Offers commentary on every line of text. Removes the gap between commentary and text.","Hume’s Enquiry: Expanded and Explained includes the entire classical text of David Hume’s An Enquiry Concerning Human Understanding in bold font, a running commentary blended seamlessly into the text in regular font, and analytic ...",Routledge
Lunar Park,,['Bret Easton Ellis'],425,"He became a bestselling novelist while still in college, immediately famous and wealthy. He watched his insufferable father reduced to a bag of ashes in a safety-deposit box. He was lost in a haze of booze, drugs and vilification. Then he was given a second chance. This is the life of Bret Easton Ellis, the author and subject of this remarkable novel. Confounding one expectation after another, Lunar Park is equally hilarious, horrifying and heartbreaking. It’s the most original novel of an extraordinary career – and best of all: it all happened, every word is true.","Then he was given a second chance. This is the life of Bret Easton Ellis, the author and subject of this remarkable novel. Confounding one expectation after another, Lunar Park is equally hilarious, horrifying and heartbreaking.",Pan Macmillan
The Nu-Puritans,,,,,,
Marquis De Sade,,"['John (Department of French Literature and Culture Phillips, London Metropolitan University)', 'John Phillips']",161,"Discussing the 'real' Marquis de Sade from his mythical and demonic reputation, John Phillips examines Sade's life and work his libertine novels, his championing of atheism, and his uniqueness in bringing the body and sex back into philosophy.","Discussing the 'real' Marquis de Sade from his mythical and demonic reputation, John Phillips examines Sade's life and work his libertine novels, his championing of atheism, and his uniqueness in bringing the body and sex back into ...",Oxford University Press
In Cold Blood,,['Truman Capote'],432,"NATIONAL BESTSELLER • The most famous true crime novel of all time ""chills the blood and exercises the intelligence"" (The New York Review of Books)—and haunted its author long after he finished writing it. On November 15, 1959, in the small town of Holcomb, Kansas, four members of the Clutter family were savagely murdered by blasts from a shotgun held a few inches from their faces. There was no apparent motive for the crime, and there were almost no clues. In one of the first non-fiction novels ever written, Truman Capote reconstructs the murder and the investigation that led to the capture, trial, and execution of the killers, generating both mesmerizing suspense and astonishing empathy. In Cold Blood is a work that transcends its moment, yielding poignant insights into the nature of American violence.","In Cold Blood is a work that transcends its moment, yielding poignant insights into the nature of American violence.",Vintage
Portrait Of A Lady,,['Henry James'],588,"Can an Independent Woman Escape Her Destiny? “’I always want to know the things one shouldn't do.’ ‘So as to do them?’ asked her aunt. ‘So as to choose.’ said Isabel” - Henry James, The Portrait of a Lady After the death of her father, Isabel Archer, a young American lady with many hopes and dreams decides to visit her aunt in England. Isabel wants to be independent and rejects the marriage proposals of two wealthy men. Her cousin wants to help her so he convinces his father on his deathbed to leave much of the estate to Isabel. Can the Lady finally fulfill her dreams? This Xist Classics edition has been professionally formatted for e-readers with a linked table of contents. This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t wait to hear what you have to say about it. Xist Publishing is a digital-first publisher. Xist Publishing creates books for the touchscreen generation and is dedicated to helping everyone develop a lifetime love of reading, no matter what form it takes","This eBook also contains a bonus book club leadership guide and discussion questions. We hope you’ll share this book with your friends, neighbors and colleagues and can’t wait to hear what you have to say about it.",Xist Publishing
On Liberty,,['John Stuart Mill'],216,,,
Full Disclosure,,['Andrew Neil'],520,"The insider's story of the biggest controversies to rock the 1980s and early 1990s, this work, by the editor of the Sunday Times throughout the 1980s, covers the main political events of this period. The book reveals information about events as varied as the miners' strike and the Thatcher leadership contest, what lay behind the headline Queen dismayed by uncaring Thatcher, and why, despite being a supporter of much of the Thatcher revolution, the author and the Sunday Times were persona non grata at Downing Street. The author also reflects on his life as a bachelor, including comment on both his relationship with Pamella Bordes and his working partnership with Rupert Murdoch.","The insider's story of the biggest controversies to rock the 1980s and early 1990s, this work, by the editor of the Sunday Times throughout the 1980s, covers the main political events of this period.",
Drinking In London,The Comprehensive Guide to Drinking in the Capital,['Gordon Butler'],0,"This no-nonsense guide to the best--and worst--of London's diverse and legendary drinking establishments features groupings of pubs arranged by the nearest tube stop, making it easy to find any place or discover hidden gems. The Top Ten Pubs section includes: Thames-side pubs, pubs for alfresco drinking, pubs for watching sports, pubs near visitor attractions, and pubs for food. Almost every pub in the city is profiled with color photos and details on atmosphere, clientele, food, and the range of drinks on offer, making this the ultimate resource for London pub-goers.","This no-nonsense guide to the best--and worst--of London's diverse and legendary drinking establishments features groupings of pubs arranged by the nearest tube stop, making it easy to find any place or discover hidden gems.",John Blake
Pale Blue Dot,A Vision of the Human Future in Space,['Carl Sagan'],456,"""FASCINATING . . . MEMORABLE . . . REVEALING . . . PERHAPS THE BEST OF CARL SAGAN'S BOOKS."" --The Washington Post Book World (front page review) In Cosmos, the late astronomer Carl Sagan cast his gaze over the magnificent mystery of the Universe and made it accessible to millions of people around the world. Now in this stunning sequel, Carl Sagan completes his revolutionary journey through space and time. Future generations will look back on our epoch as the time when the human race finally broke into a radically new frontier--space. In Pale Blue Dot Sagan traces the spellbinding history of our launch into the cosmos and assesses the future that looms before us as we move out into our own solar system and on to distant galaxies beyond. The exploration and eventual settlement of other worlds is neither a fantasy nor luxury, insists Sagan, but rather a necessary condition for the survival of the human race. ""TAKES READERS FAR BEYOND Cosmos . . . Sagan sees humanity's future in the stars."" --Chicago Tribune ""From the Trade Paperback edition.",""" --The Washington Post Book World (front page review) In Cosmos, the late astronomer Carl Sagan cast his gaze over the magnificent mystery of the Universe and made it accessible to millions of people around the world.",Random House (NY)
The Daily Star,,['Khademul Islam'],335,"Chiefly short stories and poems originally written in English by some 20th century authors from Bangladesh; some selected from previously published issues of the Daily star newspaper published from Dhaka, Bangladesh.","Chiefly short stories and poems originally written in English by some 20th century authors from Bangladesh; some selected from previously published issues of the Daily star newspaper published from Dhaka, Bangladesh.",
The Second Law,,['Joseph Kestin'],360,,,Dowden Hutchinson and Ross
Full Frequency Spectrum,,['Esther L. Stenberg'],46,,,
Strong Anthropic Principle,,,,,,
Planet Of The Idiots,A Survival Guide,['Lindsey Stokes'],190,,,
Dead Yard,Tales of Modern Jamaica,['Ian Thomson'],394,"Jamaica used to be the source of much of Britain's wealth, an island where slaves grew sugar and the money flowed in vast quantities. It was a tropical paradise for the planters, a Babylonian exile for the Africans shipped to the Caribbean. It became independent in 1962. Jamaica is now a country in despair. It has become a cockpit of gang warfare, drug crime and poverty. Haunted by the legacy of imperialism, its social and racial divisions seem entrenched. Its extraordinary musical tradition and physical beauty are shadowed by casual murder, police brutality and political corruption. Ian Thomson shows a side of Jamaica that tourists rarely see in their gated enclaves. He travelled country roads in buses and met ordinary Jamaicans in their homes and workplaces; and his encounters with the white elite, who still own most of Jamaica's businesses and newspapers, are unforgettable. Thomson brings alive the country's unique racial and ethnic mix; the all-pervading influence of the USA; and the increasing disillusionment felt by its people, who can't rely on the state for their most basic security. At the heart of the book is Jamaica's tense, uneasy relationship with Britain, to whom it remains politically and culturally bound.","At the heart of the book is Jamaica's tense, uneasy relationship with Britain, to whom it remains politically and culturally bound.",Faber & Faber
Why Work?,Why High-performance Work Systems Pay Off,"['Thomas Bailey', 'Peter Berg', 'Arne L. Kalleberg']",280,"Much of the hoopla surrounding quality circles, teams, and high-performance work systems has been based on anecdotes and very thin evidence. It has not been established that those employee involvement strategies amount to anything more than another series of management fads or ruses designed to get more out of workers without giving them anything in return. This revelatory book, written by some of the skeptics, lays some of the suspicion to rest.Based on their visits to 44 plants and surveys of more than 4,000 employees, Eileen Appelbaum, Thomas Bailey, Peter Berg, and Arne L. Kalleberg concluded that companies are indeed more successful when managers share knowledge and power with workers and when workers assume increased responsibility and discretion.The study of steel, apparel, and medical electronics and imaging plants revealed much. In self-directed teams, workers were able to eliminate bottlenecks and coordinate the work process. In task forces created to improve quality, they communicated with individuals outside their own work groups and were able to solve problems. Expensive equipment in steel mills operated with fewer interruptions, turnaround and labor costs were cut in apparel factories, and costly inventories of components and medical equipment were reduced.And what did the employees think? The worker survey showed that jobs in participatory work systems often provide more challenging tasks and more opportunities for creativity. Employees in apparel had higher hourly earnings; those in steel had both higher hourly earnings and higher job satisfaction. Workers in more participatory settings were no more likely than others to report heavy workloads or excessive demands on their time. They were, however, less likely to report involuntary overtime or conflict with co-workers, and were more likely to be satisfied with their surroundings. Manufacturing Advantage provides the best assessment available of the effectiveness of high-performance work systems. Freestanding chapters near the end of the book provide full documentation of research data without interrupting the narrative flow.","This revelatory book, written by some of the skeptics, lays some of the suspicion to rest.",Cornell University Press
Strangers On A Train,,['Patricia Highsmith'],294,"Guy Haines loses his own identity after he is drawn into a plot to commit murder, in a new edition of the first novel by the author of The Talented Mr. Ripley. Reprint.",Two psychopaths meet on train and plan to trade murders.,W. W. Norton & Company
